Libellé produit,Nature,knn_conformity_pred,knn_conformity_conf,ensemble_pred,ensemble_conf
Porte pantalon en métal,Accessoire dressing,Cintres,0.15,Portant,0.1656340746818021
Armoire lit escamotable kompact ouverture assistée coloris blanc mat couchage 90*200 cm ,Armoire lit,Lit adulte,0.65,Lit adulte,0.2773000955631678
Demi colonne,Colonne sdb,Objet deco,0.1,Colonne sdb,0.2110951249858759
Matelas palette réversible l 120 x l 80 x h 15 cm orange,Fauteuil,Tapis de Salon et Ch,0.2,Matelas,0.0894169774844642
Capital sports stream m1 rameur à résistance magnétique 105 cm aluminium,Rameur,Petit outillage,0.15,Rameur,0.1039519607484039
Ec 685 w machine expresso classique dedica style blanc,Cafetière filtre,Cuisiniere,0.1,Expresso,0.0748069454561462
Filtre charbon cr330 44x28cm à l unité hotte airlux 75x3654,Accessoire cuisson,Pièces détachées,0.4,Accessoire cuisson,0.2205799050193778
Miroir grossissant tripty3 lumineux triptyque yoghi,Miroir salle de bain,Lit jeune,0.15,Miroir,0.1065514634378811
Douchette pour lavabo avec crochet duo,Accessoire sdb,Robinet,0.25,Robinet,0.1690614983136507
Ensemble filtre moteur u47 pour aspirateur hoover,Pièces détachées,Accessoire aspi,0.4,Pièces détachées,0.5615180932950709
Veilleuse bébé lapin sans fil touch souple led multicolore dimmable bunny h19cm,Objets lumineux,Lit bébé,0.25,Lit bébé,0.1194431722679945
Plancha électrique de table en bambou cuisto xl 2000w 51 x 25 4 cm,Barbecue,Chevet,0.1,Barbecue,0.0795314848864338
Mp3 mp4 et mp5 superbe lecteur mp4 energy sistem 426461 touch bluetooth 1 8 8 gb noir ,Baladeur mp3/4,Amplificateur,0.25,Baladeur mp3/4,0.1231722462337684
Plat four à r tir rectangulaire en acier inoxydable avec anses 45cm,Set vaisselle,Parure de lit,0.25,Parure de lit,0.0726570159293359
Boite à marinade pour mise sous vide food saver,Ustensiles,Pièces détachées,0.2,Ustensiles,0.1080923447716097
Msi b450m pro m2 max noir,Carte mère,Accessoire ch adulte,0.1,Carte mère,0.0791747994168097
Sommier bultex gris confort ferme robusto 160x190,Sommier,Cadre à lattes,0.35,Sommier,0.4454322695044018
Polti sv220 balai vapeur multi usages 2 en 1 1300 w 320 ml bleu autonomie illimitée réglage vapeur toutes surfaces,Balai vapeur,Centrale vapeur,0.5,Centrale vapeur,0.1925546150523321
Couvercle inox 210 pour cuve 220 m m pour autocuiseur lagostina,Pièces détachées,Casserole,0.25,Pièces détachées,0.255553876196517
Table d appoint pliable design zoé l 53 x h 66 cm noir,Table basse,Table,0.45,Table,0.4375471967621674
Tomy tracteur build a johnny john deere,Jeu de construction,Parure de lit,0.15,Housse de coussin,0.0417877806528247
Meuble à chaussures entrée rangement blanc helloshop26 12_0000716,Boite de rangement,Meuble à chaussures,0.85,Meuble à chaussures,0.5693509734868322
Toile de toscane rideau 100 coton chocolat 150x250,Rideau,Sommier,0.2,Rideau,0.254073720670181
Coussin dehoussable gaze de coton chantilly 40 cm,Housse de coussin,Taie d'oreiller,0.4,Housse de coussin,0.4692870660443557
Couvre lit motifs carrés 160 x 220 cm lin atmosphera,Dessus de lit,Tapis de Salon et Ch,0.2,Dessus de lit,0.1700225070794984
Taie d oreiller rouge 63 x 63 cm,Housse de coussin,Taie d'oreiller,0.75,Taie d'oreiller,0.5817962739543442
So slime diy canal toys loisir créatif slime factory gar on jouet ssc 011 vert bleu,Jeu éducatif,Pièces détachées,0.1,Jeu éducatif,0.045939110828391
Boite de rangement à zipper 52x35cm,Boite de rangement,Tapis de Salon et Ch,0.5,Boite de rangement,0.3697102125208681
Distributeur de cotons tiges bambou beauty 9cm transparent,Accessoire sdb,Tapis de Salon et Ch,0.3,Tapis de Salon et Ch,0.0879023303893644
Neverstop mfp 1202nw,Imprimante,Sommier,0.2,Ecran PC,0.0689180258811414
Bac multi usages composteur acier galvanisé 100 litres,Composteur,Congelateur,0.75,Congelateur,0.2088903944998612
Tapis extérieur 120x180 cm dolly canard,Tapis d'extérieur,Tapis de Salon et Ch,0.35,Tapis de Salon et Ch,0.328125379601147
Pose ensemble salle de bain Ensemble de salle de bain complet,Pose Ensemble Salle de bain,Robinet,0.25,Ensemble sdb,0.1872295350985116
Sommier electrique bultex pop art sigma 2x80x200,Sommier,Matelas,0.35,Sommier,0.3113945430172768
Plaid en flanelle à plumes reliefées 125 x 150 cm,Plaid,Sommier,0.55,Plaid,0.5651464012325075
Armoire 1 porte hauteur 188 cm blanche,Armoire,Meuble haut cuisine,0.25,Armoire,0.1512461684772711
Peluche t choupi calin 25 cm,Poupée et poupon,Parure de lit,0.4,Peluche,0.2757103375235623
Canapé de relaxation 3 places en microfibre simili léon couleur gris noir,Friteuse,Canape droit,0.6,Canape droit,0.6231645152614573
Klarstein elizabeth four encastrable 6 fonctions 2200w nettoyage facile classe a design rétro crème,Four,Poubelle cuisine,0.2,Four,0.1897577451235326
Paris prix lot de 4 chaises de bar velours yan 100cm noir,Tabouret,Chaise,0.65,Chaise,0.6012457098510242
Excavatrice avec roues,Porteur et bascule,Bureau,0.2,Petit outillage,0.0980896896008706
Table salle a manger icub strong eco 80x120x75 cm noir effect vintage,Table,Plaque de cuisson,0.2,Table,0.5013645599187379
Table industrielle vintage kaliste ch ne,Table,Table basse,0.55,Table basse,0.3776825546632891
Fauteuil chaise à bascule avec repose mollets réglable gris ,Fauteuil relax,Fauteuil,0.35,Fauteuil,0.3851613006235788
Lampe de bureau élégante lampe de table stylée liseuse avec cristaux synthétiques e14 métal hauteur 40 cm noir lux pro ,Lampe,Lampadaire,0.4,Lampe,0.4354246499668849
Ensemble table scandinave ronde noire et 4 chaises scandinave blanches hombuy style eiffel salle à manger restaurant café ,Table,Ens table chaises,0.5,Table,0.4540690083499813
Ciel de lit demoiselle atmosphera,Objet deco,Tabouret,0.2,Objet deco,0.0814010760587747
Porte serviette design métal lirio l 20 x h 76 cm noir,Porte serviette,Porte manteau,0.25,Porte serviette,0.1819211913575353
Hecht set avec 3 haches merlin à fendre couperet hachette 40 40 85 cm longue noyau en fibre de verre nr 2,Petit outillage,Housse de couette,0.65,Housse de couette,0.1864258772807084
Fauteuil cabriolet moderne de salon tissu gris versanora chester vnf00073eu,Fauteuil,Canapé d'angle,0.5,Fauteuil,0.3236355139530652
Lot de 2 chaises fauteuils ulrick tissu beige,Fauteuil,Chaise,0.55,Chaise,0.5933880295389105
Lit enfant superposé en métal blanc lt041,Lit jeune,Lit bébé,0.6,Lit jeune,0.5999313737937355
2x portemanteau hwc c60 home+family 55x21cm brun nature shabby,Penderie,Housse de couette,0.55,Housse de couette,0.1520511336788539
Tagio repose pied rectanglaire style scandinave chambre salon 80x46x65 cm pouf siege d appoint tissu tressé gris,Pouf / repose pied,Commode,0.9,Commode,0.2533377752133113
Housse de clic clac matelassé essentiel beton,Housse de coussin,Table basse,0.15,Housse de chaise,0.0478848781866603
Banc coffre rangement sur pied 76 cm tissu gris anthracite,Coffre,Lit adulte,0.3,Coffre,0.2426592909750834
Matelas alona a ressorts + memoire de forme 80 kg m3 80x200 hauteur + 25 5 cm accueil moelleux soutien ferme + oreiller,Meuble à chaussures,Matelas,0.8,Matelas,0.7628344784822483
Tapis rond 0 90 cm jute ajoure cordou,Tapis enfant,Tapis de Salon et Ch,0.6,Tapis de Salon et Ch,0.3129424744883693
Capital sports comp rings anneaux de gymnastique 23 cm de diamétre pour entra nement de musculation sangles pour ajuster la ha,Accessoire fitness,Appareil musculation,0.7,Accessoire fitness,0.395178118680636
Manga safe full siege auto grand confort 2 en 1 groupe 2 3 noir,Siège auto,Canape droit,0.2,Siège auto,0.1220232863638208
Roka lot de 6 chaises tissu gris anthracite l 42 x p 54 3 x h 95 2 cm,Chaise,Paravent,0.15,Chaise,0.4388808662804452
Cdaffaires paire droite passants 2x60x120 cm voile sable imp Metallise kolza gris argent,Voilage,Housse de couette,0.35,Voilage,0.3276954450061548
Melitta cafetière isotherme enjoy top therm noir 1000w 15 tasses 1017 08,Cafetière portionnée,Cafetière filtre,0.45,Cafetière filtre,0.2212869996586182
Fauteuil transat de bain bébé plastique rigide vert forest,Transat de bain bébé,Lit bébé,0.2,Bain de soleil,0.1167777337762294
Porte manteau 170 cm,Porte manteau,Meuble haut cuisine,0.2,Porte manteau,0.3619699546757108
Taie de traversin 45 x 185 cm 100 coton 57 fils cm couleur linge blanc linge blanc blanc,Taie de traversin,Drap housse,0.45,Drap housse,0.175157370427563
Robinet mural d eau froide à ressort mitigeur de cuisine mémoire de forme pour eau froide mitigeur d evier en acier inox brossé ,Cuisine complète,Robinet,0.4,Robinet,0.3769213141368442
Table à repasser en bois taiga 130x47 h95cm haute qualité avec repose fer et repose centrale vapeur,Table a repasser,Table basse,0.3,Table a repasser,0.1858080320259334
Tapis style berbère 60x110 cm rectangulaire af orienvag crème entrée adapté au chauffage par le sol,Carpette,Tapis de Salon et Ch,0.7,Tapis de Salon et Ch,0.5046260095019903
Safety 1st porte bebe youmi plain red,Porte bébé,Acc telephonie,0.1,Acc telephonie,0.0877806701353254
Gardena enrouleur mural de tuyau classic 60 plastique 2650 20,Arrosage,Miroir,0.25,Miroir,0.0755637666225946
Lot de 10 anneaux à pince 4 cm,Accessoire bureau,Poele,0.15,Jeu de pied,0.0686986135430685
Dessous de plat pliable en silicone dessous de plat 21 5 x 21 5 x 1 2 cm couleur fuchsia,Ustensiles,Buffet,0.2,Ustensiles,0.061283554346832
Songmics xxl armoire etagère de rangement en plastique noire imprimée 4 x 5 cubes grande capacité 143 x 36 x 178 cm l x l x h ,Dressing complet,Matelas,0.2,Etagère,0.2169337460747048
Birds tapis à motifs géométriques gris 133x190,Tapis de Salon et Ch,Objet deco,0.3,Tapis de Salon et Ch,0.2726581718665309
Filtre hotte,Accessoire cuisson,Pièces détachées,0.35,Hotte,0.2288961814828967
Tectake tente enfant à balles + 100 balles + sac de transport bleu,Jeu d'imitation,Bureau,0.2,Jeu d'imitation,0.1546497145057764
Homemania lampe de plafond volino plafonnier du mur or en métal 53 x 53 x 27 cm 5 x led 16w 5600lm 3000k,Plafonnier,Suspension,0.35,Plafonnier,0.1846309866718089
 lux pro luminaire suspendu plafonnier trio 3 x g9 socle 20 cm x 28 cm plafonnier raccord de luminaire suspendu lampe ,Plafonnier,Suspension,0.35,Plafonnier,0.3783956286891072
Rideau lin à oeillets 135x250 cm linen naturel par soleil d ocre,Rideau,Voilage,0.35,Rideau,0.5513370495421778
Pèse aliment en plastique avec écran digital pem sc 213,Balance de cuisine,Table,0.4,Table,0.1155529593435414
Verona armoire colonne de salle de bains 170x40x30 cm meuble colonne de rangement salle de bains toilette ch ne,Colonne sdb,Element bas SDB,0.5,Colonne sdb,0.5053649540259254
Delonghi expresso 15 bars buse vapeur noir inox ecp3321bk,Expresso,Centrale vapeur,0.2,Centrale vapeur,0.0633184239210236
Tabouret de massage tabouret selle ergonomique pivotant 360 hauteur réglable rev tement synthétique noir,Tabouret,Autre soin personne,0.5,Tabouret,0.5904159567686434
Princesse glamour rose 95 x 133 cm belgique tapis enfant et disney par walt disney,Tapis enfant,Lit jeune,0.45,Tapis enfant,0.2725109980872959
Set de 3 po les 24 28 32 cm en aluminium forge tfi danielle kitchencook,Poele,Lit adulte,0.2,Poele,0.3492704613296041
Multitool ryobi 18v oneplus sans batterie ni chargeur r18mt3 0,Petit outillage,Perceuse visseuse,0.15,Chargeur,0.053471808146184
100 original avertisseur à ultrasons repousse gibier sifflets ultrasons anti collision,Petit outillage,Oreiller,0.1,Autre soin personne,0.0556173791233877
Atmosphera t te de buffle à poser h30,Objet deco,Poubelle sdb,0.25,Objet deco,0.0839932986789825
Armoire lingère 2 portes 2 tiroirs laud,Dressing complet,Armoire,0.75,Armoire,0.5470782761963559
Alize tyrolienne pour enfants de 30m avec balan oire disque poignées antidérapantes système d amortissement,Balançoire,Lit jeune,0.65,Lit jeune,0.1789001786223622
Tabouret de bar tabouret haut cuisine avec dossier et repose pieds tabouret bois haute qualité fst70 sch sobuy ,Chaise de bureau,Tabouret,0.65,Tabouret,0.7876124521741225
Lit 180 x 200 cm chene greg,Lit adulte,Lit jeune,0.55,Lit adulte,0.6491862880625175
B205 a4 30ppm wireless c p s ps3 pcl5e,Imprimante,Pc bureau,0.85,Pc bureau,0.2858282893782235
Pc portable gamer msi gp76 leopard 10ug 259fr 17 3 fhd 144hz i7 10870h 16go stockage 512go ssd rtx 3070 w10 azer,Pc portable,Pc bureau,0.45,Pc portable,0.4473368997423167
Chic bancs famille lima banc 128 5 cm marron similicuir daim,Banc,Tete de lit,0.15,Banc,0.0962003713939903
Meuble de cuisine blanc alu 40 x 122 cm,Meuble haut cuisine,Buffet,0.35,Meuble haut cuisine,0.2131785342986457
Nappe 140x240cm goldy blanc et argent,Linge de table,Tete de lit,0.35,Linge de table,0.3807224746279866
Tapis rond en velours uni 90 cm,Tapis enfant,Tapis de Salon et Ch,0.45,Tapis de Salon et Ch,0.3885007273060118
Bureau multi rangements pin massif vernis naturel,Bureau,Lit adulte,0.25,Bureau,0.5740666355966134
